Comment,Quantity,Designator,Footprint,Part#,Digikey,AliExpress
Donut Dongle,,,,,,
0.1 uf / 100nf Capacitor,4,"C1,C2,C3,C4",C_0805_2012Metric,311-1140-1-ND,https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874?s=N4IgTCBcDaIMwEYEFokBYAMrkDkAiIAugL5A,
30 Ohm Resistor,1,R1,R_0805_2012Metric,10-ERJ-P06F30R0VCT-ND,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-P06J102V/525197?s=N4IgTCBcDaIAoEYB0AGA0gQQCIGEAqAtAHJYA6ALiALoC%2BQA,
1K Ohm Resistor,1,R2,R_0805_2012Metric,P1.0KADCT-ND,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-P06J102V/525197,
10K Ohm Resistor,6,"R3,R4,R5,R6,R7,R8",R_0805_2012Metric,311-10KLGCT-ND,https://www.digikey.com/en/products/detail/yageo/AC0805FR-0710KL/2827834,
PJ-307 3.5mm Stereo Jack Socket Audio Jack Connector PCB 3F07,1,,,PJ-307,,https://www.aliexpress.us/item/2251832712518602.html?sourceType=1&spm=a2g0o.wish-manage-share.0.0&gatewayAdapt=glo2usa4itemAdapt
PJ-320 3.5MM Headphone Jack Audio Video Female,4,,,PJ-320,,https://www.aliexpress.us/item/3256805995568762.html?sourceType=1&spm=a2g0o.wish-manage-share.0.0&gatewayAdapt=glo2usa4itemAdapt
DC3 10 Pin 2x5 Pin Double Row 2.54mm Pitch Straight Pin Male IDC Box Header Connector,2,,2x5 pin,,,https://www.aliexpress.us/item/2255800441397852.html?sourceType=1&spm=a2g0o.wish-manage-share.0.0&gatewayAdapt=glo2usa4itemAdapt
2.54mm 2x4 Pin 8 Pin Straight Male Shrouded PCB Box header IDC Socket,2,,2x4 pin,,,https://www.aliexpress.us/item/2251801533534895.html?sourceType=1&spm=a2g0o.wish-manage-share.0.0&gatewayAdapt=glo2usa4itemAdapt
CHF03 1.5 Meters IR Infrared Remote Emission Cable IR Emitter 5ft Emission Lines Extender Cord for IR Repeater Kit,1,,3.5mm TS male jack (optional),,,https://www.aliexpress.us/item/3256805962345169.html?sourceType=1&spm=a2g0o.wish-manage-share.0.0&gatewayAdapt=glo2usa4itemAdapt
3.5mm IR Infrared Remote Control Receiver Extension Cord Cable for Extender Repeater System IR Receiver Emitter for Set Top Box,1,,3.5mm TRS male jack (optional),,,https://www.aliexpress.us/item/2251832741040177.html?sourceType=1&spm=a2g0o.wish-manage-share.0.0&gatewayAdapt=glo2usa4itemAdapt
MAX3232CSE MAX3232 MAX3232ESE SOP-16 RS-232 Interface IC 3-5.5V MultiCh Line Driver/Receiver,1,U1,SOP-16,MAX3232,,https://www.aliexpress.us/item/3256807314260762.html?sourceType=1&spm=a2g0o.wish-manage-share.0.0&gatewayAdapt=glo2usa4itemAdapt
Type-C Arduino Nano,1,,,,,https://www.aliexpress.us/item/3256806596798623.html?sourceType=1&spm=a2g0o.wish-manage-share.0.0&gatewayAdapt=glo2usa4itemAdapt
